code;name;league
LIV;Liverpool;Premier League
RMA;Real Madrid;La Liga
PSG;Paris Saint-Germain;Ligue 1
MCI;Manchester City;Premier League
BAY;FC Bayern München;Bundesliga
BAR;FC Barcelona;La Liga
INT;Inter;Serie A
ARS;Arsenal;Premier League
ATL;Atlético Madrid;La Liga
GAL;Galatasaray SK;Süper Lig
BVB;Borussia Dortmund;Bundesliga
ACM;AC Milan;Serie A
NAP;Napoli;Serie A
CHE;Chelsea;Premier League
MUN;Manchester United;Premier League
NEW;Newcastle United;Premier League
ROM;Roma;Serie A
IN2;Inter Miami;Major League Soccer
ATH;Athletic Club;La Liga
ALN;Al Nassr;Pro League
RBL;RB Leipzig;Bundesliga
LOS;Los Angeles FC;Major League Soccer
ALI;Al Ittihad;Pro League
SUN;Sunderland;Premier League
FIO;Fiorentina;Serie A
JUV;Juventus;Serie A
AVL;Aston Villa;Premier League
FEN;Fenerbahçe SK;Süper Lig
B04;Bayer 04 Leverkusen;Bundesliga
ALH;Al Hilal;Pro League
TOT;Tottenham Hotspur;Premier League
EVE;Everton;Premier League
FCP;FC Porto;Primeira Liga
ALA;Al Ahli SFC;Pro League
OLY;Olympique de Marseille;Ligue 1
LAZ;Lazio;Serie A
REA;Real Betis Balompié;La Liga
ATA;Atalanta;Serie A
NOT;Nottingham Forest;Premier League
WHU;West Ham United;Premier League
VIL;Villarreal CF;La Liga
SPO;Sporting CP;Primeira Liga
VFB;VfB Stuttgart;Bundesliga
TSG;TSG 1899 Hoffenheim;Bundesliga
RCC;RC Celta;La Liga
ALQ;Al Qadsiah FC;Pro League
BOT;Botafogo;Série A
RE2;Real Sociedad;La Liga
ROS;Rosario Central;Liga Profesional de Fútbol
ASM;AS Monaco;Ligue 1
SLB;SL Benfica;Primeira Liga
CRY;Crystal Palace;Premier League
TOR;Torino;Serie A
SCF;SC Freiburg;Bundesliga
EIN;Eintracht Frankfurt;Bundesliga
CAO;CA Osasuna;La Liga
FUL;Fulham FC;Premier League
BOL;Bologna;Serie A
BEŞ;Beşiktaş JK;Süper Lig
PAL;Palmeiras;Série A
SAS;Sassuolo;Serie A
BHA;Brighton & Hove Albion;Premier League
LEC;Lecce;Serie A
COM;Como;Serie A
RCD;RCD Mallorca;La Liga
BOR;Borussia Mönchengladbach;Bundesliga
SP2;Sporting Clube de Braga;Primeira Liga
ALS;Al Shabab;Pro League
VAL;Valencia CF;La Liga
PAR;Paris FC;Ligue 1
1.F;1. FSV Mainz 05;Bundesliga
SVW;SV Werder Bremen;Bundesliga
FLA;Flamengo;Série A
LEE;Leeds United;Premier League
GET;Getafe CF;La Liga
COR;Corinthians;Série A
PSV;PSV;Eredivisie
OL2;Olympique Lyonnais;Ligue 1
AT2;Atlético Mineiro;Série A
RAY;Rayo Vallecano;La Liga
CLU;Club Brugge KV;Pro League
OL3;Olympiacos FC;Super League
AFC;AFC Bournemouth;Premier League
LIL;Lille OSC;Ligue 1
OGC;OGC Nice;Ligue 1
BUR;Burnley;Premier League
VFL;VfL Wolfsburg;Bundesliga
TRA;Trabzonspor;Süper Lig
IN3;Internacional;Série A
FLU;Fluminense;Série A
BRE;Brentford;Premier League
VAN;Vancouver Whitecaps FC;Major League Soccer
LAG;LA Galaxy;Major League Soccer
ALK;Al Khaleej;Pro League
ALF;Al Fayha;Pro League
1.2;1. FC Union Berlin;Bundesliga
FEY;Feyenoord;Eredivisie
DIN;Dinamo Zagreb;Hrvatska nogometna liga
GIR;Girona FC;La Liga
STA;Stade Rennais FC;Ligue 1
EST;Estudiantes de La Plata;Liga Profesional de Fútbol
RC2;RCD Espanyol;La Liga
NE2;New York Red Bulls;Major League Soccer
NE3;New England Revolution;Major League Soccer
CEL;Celtic;Premiership
FCC;FC Cincinnati;Major League Soccer
NEO;NEOM SC;Pro League
CL2;Club Nacional de Football;Primera División
NAS;Nashville SC;Major League Soccer
WOL;Wolverhampton Wanderers;Premier League
HAJ;Hajduk Split;Hrvatska nogometna liga
AL2;Al Ain;Pro League
AZA;AZ Alkmaar;Eredivisie
BAH;Bahia;Série A
NEC;NEC Nijmegen;Eredivisie
BEL;Belgrano de Córdoba;Liga Profesional de Fútbol
RIV;River Plate;Liga Profesional de Fútbol
FCB;FC Basel 1893;Super League
FCT;FC Twente;Eredivisie
SAN;San Diego FC;Major League Soccer
SPA;Sparta Praha;První liga
BOC;Boca Juniors;Liga Profesional de Fútbol
DYN;Dynamo Kyiv;Premier League
AJA;Ajax;Eredivisie
DEP;Deportivo Alavés;La Liga
HAM;Hamburger SV;Bundesliga
FER;Ferencvárosi Torna Club;Nemzeti Bajnokság I
PEÑ;Peñarol;Primera División
RCS;RC Strasbourg Alsace;Ligue 1
LAN;Lanús;Liga Profesional de Fútbol
SA2;San Jose Earthquakes;Major League Soccer
UNI;Union Saint-Gilloise;Pro League
UDI;Udinese;Serie A
CRE;Cremonese;Serie A
PAO;PAOK;Super League
TOU;Toulouse FC;Ligue 1
ALT;Al Taawoun FC;Pro League
