player_slug,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,best_position,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
rodrigo-hernandez-cascante,2025-07-17,Rodri,Rodrigo Hernández Cascante,"Rodri (born 22 June 1996) is a Spanish footballer who plays as a central defensive midfielder for British club Manchester City, and the Spain national team. In the game FC 25, his overall rating is 91.",https://cdn.sofifa.net/players/231/866/25_120.png,190,82,1996-06-22,"CDM,CM",CDM,91,91,€115.5M,€440K,Right,4,3,5,Normal (185+),Yes,€213.7M,Distance shooter,10.0,Manchester City,13.0,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,RES,16.0,2019-07-04,2027,1362.0,Spain,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18710/30.png,RES,16.0,76,74,81,93,71,84,86,64,91,90,65,66,66,93,67,92,83,91,83,89,85,84,76,84,62,94,92,87,82,10,10,7,14,8,"Tiki Taka +,Power Shot,Long Ball Pass,Bruiser,Press Proven,Aerial,Team Player,Leadership"
mohamed-salah,2025-07-17,Mohamed Salah Hamed Ghaly,Mohamed Salah Hamed Ghalyمحمد صلاح,"Mohamed Salah (Mohamed Salah Hamed Ghaly, born 15 June 1992) is an Egyptian footballer who plays as a right midfield for British club Liverpool. In the game FC 25, his overall rating is 91.",https://cdn.sofifa.net/players/209/331/25_120.png,175,72,1992-06-15,"RM,RW",RM,91,91,€104M,€350K,Left,3,4,5,Unique,Yes,€192.4M,"Dribbler,Crosser,Acrobat,Clinical finisher,Complete forward",9.0,Liverpool,13.0,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,RM,11.0,2017-07-01,2027,,,,,,,,86,95,59,88,83,90,88,69,81,90,89,89,89,94,91,83,79,88,75,84,63,55,93,89,87,93,38,43,41,14,14,9,11,14,"Finesse Shot +,Chip Shot,Pinged Pass,Whipped Cross,Technical,First Touch,Trivela"
jude-bellingham,2025-07-17,Jude Victor William Bellingham,Jude Victor William Bellingham,"Jude Bellingham (Jude Victor William Bellingham, born 29 June 2003) is a British footballer who plays as a central attacking midfielder for Spanish club Real Madrid, and the England national team. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/252/371/25_120.png,186,75,2003-06-29,"CAM,CM",CAM,90,94,€174.5M,€280K,Right,4,4,5,Normal (170-185),Yes,€370.8M,"Dribbler,Playmaker,Clinical finisher,Complete midfielder,Complete forward",243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,RCM,5.0,2023-07-01,2029,1318.0,England,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,CAM,10.0,66,89,75,90,77,89,73,68,89,89,81,80,82,91,79,85,85,93,80,86,85,82,91,91,74,87,77,79,77,14,11,10,5,8,"Relentless +,Intercept,Slide Tackle,Technical,Flair"
erling-haaland,2025-07-17,Erling Braut Håland,Erling Braut Håland,"Erling Haaland (Erling Braut Håland, born 21 July 2000) is a Norwegian footballer who plays as a striker for British club Manchester City, and the Norway national team. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/239/085/25_120.png,195,94,2000-07-21,ST,ST,90,92,€157M,€270K,Left,3,3,5,Unique,Yes,€302.2M,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",10.0,Manchester City,13.0,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,SUB,9.0,2022-07-01,2034,1352.0,Norway,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,ST,9.0,58,96,83,77,90,79,77,62,66,83,80,94,77,93,69,94,92,76,93,83,88,43,95,74,90,88,38,47,29,7,14,13,11,7,"Chip Shot +,Power Shot,Power Header,Bruiser,Press Proven,Acrobatic,Injury Prone"
vinicius-jose-de-oliveira-junior,2025-07-17,Vini Jr.,Vinicius José Paixão de Oliveira Junior,"Vini Jr. (Vinicius José Paixão de Oliveira Junior, born 12 July 2000) is a Brazilian footballer who plays as a left winger for Spanish club Real Madrid. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/238/794/25_120.png,176,73,2000-07-12,"LW,ST",CAM,90,94,€171.5M,€340K,Right,4,5,5,Lean (170-185),Yes,€364.4M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,LW,7.0,2018-07-12,2027,,,,,,,,81,89,50,83,73,93,79,62,77,90,95,95,94,86,84,81,74,84,65,83,58,26,87,85,74,83,32,25,18,5,7,7,7,10,"Quick Step +,Finesse Shot,Chip Shot,Rapid,Flair,First Touch,Trivela"
kylian-mbappe,2025-07-17,Kylian Mbappé Lottin,Kylian Mbappé Lottin,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for Spanish club Real Madrid, and the France national team. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/231/747/25_120.png,182,75,1998-12-20,"ST,LW",ST,90,93,€160M,€380K,Right,4,5,5,Unique,Yes,€340M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,ST,9.0,2024-07-01,2029,1335.0,France,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,ST,10.0,78,92,72,85,84,93,80,69,74,92,97,97,93,91,82,90,88,87,77,83,61,38,91,83,82,88,26,34,32,13,5,7,11,6,"Quick Step +,Finesse Shot,Rapid,Flair,Trivela,Acrobatic,Solid Player"
virgil-van-dijk,2025-07-17,Virgil van Dijk,Virgil van Dijk,"Virgil van Dijk (born 8 July 1991) is a Dutch footballer who plays as a center back for British club Liverpool, and the Netherlands national team. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/203/376/25_120.png,193,92,1991-07-08,CB,CB,90,90,€77.5M,€220K,Right,3,2,5,Unique,Yes,€143.4M,"Tackling,Tactician,Strength,Complete defender",9.0,Liverpool,13.0,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,LCB,4.0,2018-01-01,2027,105035.0,Netherlands,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18694/30.png,LCB,4.0,53,52,88,80,45,70,60,70,86,77,66,87,54,90,50,81,89,75,93,64,85,91,47,70,62,90,91,91,87,13,10,13,11,11,"Intercept +,Power Header,Pinged Pass,Jockey,Anticipate,Bruiser,Aerial,Solid Player,Leadership"
harry-kane,2025-07-17,Harry Edward Kane,Harry Edward Kane,"Harry Kane (Harry Edward Kane, born 28 July 1993) is a British footballer who plays as a striker for German club FC Bayern München, and the England national team. In the game FC 25, his overall rating is 90.",https://cdn.sofifa.net/players/202/126/25_120.png,188,86,1993-07-28,ST,ST,90,90,€117.5M,€170K,Right,4,3,5,Unique,Yes,€193.9M,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",21.0,FC Bayern München,19.0,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,ST,9.0,2023-08-12,2027,1318.0,England,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,ST,9.0,80,95,91,86,89,80,82,69,79,87,64,65,66,94,73,94,87,75,86,89,80,42,94,86,95,92,46,46,38,8,10,11,14,11,"Finesse Shot +,Power Header,Incisive Pass,Long Ball Pass,First Touch,Trivela"
florian-wirtz,2025-07-17,Florian Richard Wirtz,Florian Richard Wirtz,"Florian Wirtz (Florian Richard Wirtz, born 3 May 2003) is a German footballer who plays as a central attacking midfielder for German club Bayer 04 Leverkusen, and the Germany national team. In the game FC 25, his overall rating is 89.",https://cdn.sofifa.net/players/256/630/25_120.png,177,71,2003-05-03,"CAM,ST",CAM,89,92,€143.5M,€125K,Right,4,4,5,Normal (170-185),Yes,€247.5M,"Dribbler,Playmaker,Crosser,Acrobat,Complete midfielder",32.0,Bayer 04 Leverkusen,19.0,Bundesliga,https://cdn.sofifa.net/meta/team/3321/30.png,RAM,10.0,2020-01-31,2027,1337.0,Germany,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,SUB,24.0,87,84,43,91,81,90,83,74,88,92,82,79,87,88,87,78,65,87,59,84,63,47,85,91,66,86,59,49,44,14,14,13,6,10,"Incisive Pass +,Finesse Shot,Chip Shot,Technical,Flair,First Touch,Trivela"
alisson-ramses-becker,2025-07-17,Alisson,Alisson Ramsés Becker,"Alisson (Alisson Ramsés Becker, born 2 October 1992) is a Brazilian footballer who plays as a goalkeeper for British club Liverpool. In the game FC 25, his overall rating is 89.",https://cdn.sofifa.net/players/212/831/25_120.png,193,91,1992-10-02,GK,GK,89,89,€54.5M,€130K,Right,3,1,5,Unique,Yes,€100.8M,,9.0,Liverpool,13.0,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,GK,1.0,2018-07-19,2027,,,,,,,,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66,15,19,16,86,85,85,90,89,"Deflector +,Far Throw,1v1 Close Down,Injury Prone"
